Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
Tl 193,Various,Moonlight A Great Collection Of Love Song,K-Tel,"LP, Comp",,0,3249431,Pop,2015-04-16 02:10:40,Near Mint (NM or M-),Near Mint (NM or M-),
KDE112,Swans,Young God,K.422,"12"", EP",,1984,388680,Industrial,2015-10-06 08:12:19,Near Mint (NM or M-),Near Mint (NM or M-),
ORL 8520,Stefan Grossman,Bottleneck Serenade,Kicking Mule Records,"LP, Album",,1977,4128423,bLUES,2015-09-08 00:51:35,Near Mint (NM or M-),Near Mint (NM or M-),
KOG-86001-2,United Future Organization,Jazzin',Kind Of Groove,"CD, Comp",,1992,831585,Acid Jazz,2015-03-04 04:26:25,Near Mint (NM or M-),Near Mint (NM or M-),
KVC 6003,Caravan,Caravan : The Collection,Kingdom Records,"LP, Album, Comp",,1982,5266674,Prog-Rock,2015-09-11 07:56:55,Near Mint (NM or M-),Near Mint (NM or M-),
LD 877,The Nomads (2),Hardware,LD Records,"LP, Album",,1987,1148300,Alternative Rock,2015-10-16 03:57:14,Near Mint (NM or M-),Near Mint (NM or M-),
LST-7618,Canned Heat,Hallelujah,Liberty,"LP, Album",,1969,3074316,bLUES,2015-10-12 10:53:29,Near Mint (NM or M-),Near Mint (NM or M-),
LIL 820002,Pino Calvi,Ever Green N. 1,Life Collection (2),"LP, Comp",,1983,4526947,Pop,2015-04-14 07:17:25,Near Mint (NM or M-),Near Mint (NM or M-),
LILP 4.00237 G,Billy Bragg,Talking With The Taxman About Poetry,Line Records,"LP, Whi",,1986,1484301,Folk-Rock,2015-09-29 07:13:42,Near Mint (NM or M-),Near Mint (NM or M-),
OLLP 5242 AS,The Creation (2),Re-Creation (The Rest Of The Creation),Line Records,"LP, Comp",,1982,3885814,Rock,2015-10-13 08:53:43,Near Mint (NM or M-),Near Mint (NM or M-),
